Results from heasarc_nustarssc2: NuSTAR Serendipitous Survey 40-Month Secondary Source Catalog
Coordinate system: Equatorial
|name                 |ra          |dec         |sb_flux  |sb_flux_error|sb_net_counts|sb_net_counts_error|hb_flux  |hb_flux_error|hb_net_counts|hb_net_counts_error|redshift|rf_hardxray_luminosity|source_number|lii       |bii       |sb_counts|sb_bck_counts|hb_counts|hb_bck_counts|fb_counts|fb_bck_counts|fb_net_counts|fb_net_counts_error|sb_exposure|hb_exposure|fb_exposure|sb_net_rate|sb_net_rate_error|hb_net_rate|hb_net_rate_error|fb_net_rate|fb_net_rate_error|fb_flux  |fb_flux_error|softxray_ctrpart_orig|softxray_ctrpart_ra|softxray_ctrpart_dec|opt_ctrpart_orig|opt_ra      |opt_dec     |primary_exclude_code|
|NuSTAR J045347+0408.6|04 53 47.994|+04 08 41.45|6.560e-14|    1.242e-14|      106.944|             20.246|1.269e-13|    3.386e-14|       75.350|             20.111|        |                      |           16|194.613780|-23.761252|  354.164|      247.220|  346.102|      270.752|  696.266|      512.048|      184.218|             28.229|    90494.4|    71847.3|    73512.1|  1.906e-03|        3.608e-04|  1.692e-03|        4.515e-04|  4.042e-03|        6.194e-04|2.020e-13|    3.096e-14|XMM                  |       04 53 48.280|        +04 08 30.00|WISE            |04 53 48.217|+04 08 32.50|X                   |
|NuSTAR J104426-6022.1|10 44 26.456|-60 22 07.21|3.937e-14|   -9.900e+01|       61.352|            -99.000|4.463e-14|   -9.900e+01|       28.517|            -99.000|        |                      |           24|287.848344| -1.270507|  302.226|      269.086|  237.639|      235.064|  539.865|      504.612|       69.643|            -99.000|    86508.3|    77312.5|    80314.7|  1.144e-03|       -9.900e+01|  5.949e-04|       -9.900e+01|  1.399e-03|       -9.900e+01|6.990e-14|   -9.900e+01|                     |                   |                    |                |            |            |L                   |
|NuSTAR J223654+3423.4|22 36 54.300|+34 23 28.55|2.472e-14|    1.079e-14|       26.723|             11.661|7.572e-14|   -9.900e+01|       34.931|            -99.000|   0.148|            -5.889e+42|           63| 93.677628|-20.727143|  109.516|       82.793|  123.869|      106.297|  233.385|      189.221|       44.163|             16.862|    82694.4|    76893.3|    79675.5|  7.181e-04|        3.134e-04|  1.010e-03|       -9.900e+01|  1.232e-03|        4.703e-04|6.156e-14|    2.350e-14|XMM                  |       22 36 53.750|        +34 23 32.16|SDSS            |22 36 53.849|+34 23 33.18|X                   |
|NuSTAR J101637-3336.9|10 16 37.326|-33 36 58.72|2.292e-14|    9.949e-15|       33.772|             14.660|8.529e-14|    2.746e-14|       49.352|             15.887|        |                      |           23|269.509801| 19.022421|  177.460|      143.688|  211.339|      161.987|  388.799|      302.067|       86.732|             21.385|    81797.8|    70005.1|    71651.3|  6.659e-04|        2.891e-04|  1.137e-03|        3.660e-04|  1.952e-03|        4.814e-04|9.758e-14|    2.406e-14|CXO                  |       10 16 37.240|        -33 37 06.40|                |            |            |E                   |
|NuSTAR J031602-0221.0|03 16 02.983|-02 21 01.86|3.274e-14|   -9.900e+01|       45.811|            -99.000|6.190e-14|   -9.900e+01|       35.997|            -99.000|   0.821|            -2.441e+44|            9|183.588372|-47.452162|  153.728|      128.521|  166.654|      149.350|  320.382|      278.045|       72.406|            -99.000|    77672.5|    70357.5|    73202.0|  9.513e-04|       -9.900e+01|  8.252e-04|       -9.900e+01|  1.595e-03|       -9.900e+01|7.974e-14|   -9.900e+01|XMM                  |       03 16 02.473|        -02 20 57.80|WISE            |03 16 02.547|-02 20 57.64|L                   |
|NuSTAR J001639+8139.8|00 16 39.878|+81 39 50.17|2.832e-14|   -9.900e+01|       37.483|            -99.000|8.416e-14|   -9.900e+01|       41.703|            -99.000|   0.000|                      |            1|121.604875| 18.881926|  211.768|      195.241|  184.528|      163.532|  396.296|      353.077|       76.089|            -99.000|    73480.7|    59951.8|    61713.0|  8.228e-04|       -9.900e+01|  1.122e-03|       -9.900e+01|  1.989e-03|       -9.900e+01|9.939e-14|   -9.900e+01|XMM                  |       00 16 52.034|        +81 39 48.06|USNO            |00 16 52.524|+81 39 49.09|E                   |
|NuSTAR J033406-3603.9|03 34 06.351|-36 03 58.20|6.204e-14|    1.361e-14|       57.315|             12.570|1.262e-13|    3.480e-14|       43.547|             12.004|   0.910|             6.371e+44|           12|237.819360|-54.501106|  135.466|       78.151|  122.150|       78.604|  256.616|      156.071|      100.545|             17.136|    70660.5|    57497.3|    57565.5|  1.803e-03|        3.953e-04|  1.683e-03|        4.640e-04|  3.881e-03|        6.615e-04|1.940e-13|    3.306e-14|CXO                  |       03 34 07.399|        -36 04 01.99|WISE            |03 34 07.476|-36 04 01.29|X                   |
|NuSTAR J141356-6521.9|14 13 56.885|-65 21 57.65|3.842e-14|    1.453e-14|       46.826|             17.709|1.106e-13|   -9.900e+01|       49.947|            -99.000|        |                      |           47|311.395218| -3.859027|  236.666|      189.840|  250.992|      225.417|  484.658|      413.257|       71.401|             25.251|    67666.6|    54641.7|    54699.2|  1.116e-03|        4.221e-04|  1.474e-03|       -9.900e+01|  2.105e-03|        7.446e-04|1.052e-13|    3.721e-14|CXO                  |       14 13 56.681|        -65 22 07.00|                |            |            |E                   |
|NuSTAR J223652+3420.8|22 36 52.332|+34 20 49.29|3.696e-14|   -9.900e+01|       44.410|            -99.000|1.104e-13|    3.813e-14|       52.282|             18.051|        |                      |           62| 93.646539|-20.761169|  194.781|      171.978|  255.613|      203.331|  450.394|      372.973|       77.420|             23.872|    66710.7|    57282.9|    59273.8|  1.074e-03|       -9.900e+01|  1.472e-03|        5.083e-04|  2.107e-03|        6.496e-04|1.053e-13|    3.247e-14|                     |                   |                    |                |            |            |L                   |
|NuSTAR J125605+5643.8|12 56 05.688|+56 43 52.87|7.048e-14|    1.298e-14|       84.331|             15.536|1.702e-13|    3.635e-14|       76.499|             16.341|   0.984|             1.036e+45|           39|121.639518| 60.385210|  202.447|      118.116|  222.654|      146.155|  425.101|      260.595|      164.506|             22.303|    66418.7|    54384.8|    54454.2|  2.048e-03|        3.773e-04|  2.269e-03|        4.846e-04|  4.873e-03|        6.606e-04|2.435e-13|    3.302e-14|CXO                  |       12 56 05.287|        +56 43 56.35|SDSS            |12 56 05.422|+56 43 56.34|E                   |
